Stall Name,Cuisine,Cuisine 1,Cuisine 2,Cuisine 3,Shop Type,Address,Google Address,Average Review,Number of Reviews
Bombay Dining,"['Indochinese', 'Mexican', 'North Indian']",Indochinese,Mexican,North Indian,Restaurant,  Pasir Panjang Road 118511,"89 Pasir Panjang Rd, Singapore 118511",3.9,181.0
Mei Ya Coffee Corner,"['Chinese', 'Drinks', 'Singaporean']",Chinese,Drinks,Singaporean,Kiosk or Stall,#02-37 Mei Chin Road Market Mei Chin Road 140159,"159 Mei Ling St, Singapore 140159",4.8,4.0
Khansama Tandoori Village,"['Asian', 'Indian', 'North Indian', 'South Indian']",Asian,Indian,North Indian,Restaurant,"#02-01 The Science Hub, Science Park 1 Science Park Drive 118260","87 Science Park Dr, Singapore 118260",4.2,827.0
Chun Kee Fresh Fruit Juice,"['Fruits & Drinks', 'Juices']",Fruits & Drinks,Juices,,Kiosk or Stall,#01-19 Zion Riverside Food Centre Zion Road 247792,"70 Zion Rd, Singapore 247792",,827.0
Havelock Turtle Soup,"['Asian', 'Chinese']",Asian,Chinese,,Kiosk or Stall,#01-04 Havelock Road Cooked Food Centre Havelock Road 162022,"22B Havelock Rd, Singapore 162022",4.3,53.0
Xi Di Fishball Noodle,"['Chinese', 'Singaporean']",Chinese,Singaporean,,Kiosk or Stall,#01-03 Bukit Merah View Hawker Centre Bukit Merah View 151115,,,
LiHO (NUS),"['Drinks', 'Juices', 'Singaporean']",Drinks,Juices,Singaporean,Kiosk or Stall,Stall #08 National University of Singapore Lower Kent Ridge Road 119077,"Stall #08, National University of Singapore, 21 Lower Kent Ridge Road, Level 2 Yusof Ishak House, 119077",3.4,43.0
Thai Pavilion,['Thai'],Thai,,,Restaurant,  Changi Road 419762,,,
Artisan Boulangerie Co. (312 Balestier),"['European', 'Snacks', 'Western']",European,Snacks,Western,Cafe,#01-01  Balestier Road 329743,"312 Balestier Rd, #01-01, Singapore 329743",4.0,121.0
Maison Ikkoku Cocktail Bar,"['Asian', 'Beer', 'Japanese', 'Western', 'Wine']",Asian,Beer,Japanese,Bar or Pub,Level 2 Kampong Glam Conservation Area Kandahar Street 198885,"20 Kandahar St, #02- 01, Singapore 198885",4.2,586.0
Buk Hee,"['Chinese', 'Desserts', 'Fruits & Drinks']",Chinese,Desserts,Fruits & Drinks,Kiosk or Stall,#01-59 Newton Food Centre Clemenceau Avenue North 229495,"7 Wallich St, #B1 - 01 / 02, Singapore 078884",4.2,610.0
FernTree Cafe,['International'],International,,,Cafe, Hotel Miramar Havelock Road 169631,"Hotel Miramar Singapore 401 Havelock Road Lobby Level 1, 169631",3.9,109.0
Long Ji Soya Bean Beancurd,"['Desserts', 'Singaporean']",Desserts,Singaporean,,Kiosk or Stall,#02-63 Tiong Bahru Market Seng Poh Road 168898,"84 Lim Liak St, #02-63, Singapore 160084",4.5,2.0
Manbok BBQ & Seafood (Cheong Chin Nam Road),"['Barbecue', 'Korean', 'Seafood']",Barbecue,Korean,Seafood,Restaurant,  Cheong Chin Nam Road 599741,,,
Olive's,"['Asian', 'Desserts', 'Western']",Asian,Desserts,Western,Cafe,#02-12 Shenton House Shenton Way 068805,,,
Wiser Sports Bar,"['Beer', 'Drinks', 'Wine']",Beer,Drinks,Wine,Bar or Pub,#01-02/03 Hometeamns-jom @ Balestier Ah Hood Road 329979,"31 Ah Hood Rd, HomeTeamNS Balestier, Singapore 329979",4.2,67.0
PrimaDeli (The Poiz Centre),['Desserts'],Desserts,,,Confectionery or Bakery,#01-19 The Poiz Centre Upper Serangoon Road 347697,,,
Foo Chow Fishball Noodles,"['Chinese', 'Foochow']",Chinese,Foochow,,Restaurant, Kampong Glam Conservation Area Sultan Gate 198481,"33/35 Sultan Gate, Singapore 198483",3.0,2.0
West Grill Station (Tampines),['Western'],Western,,,Kiosk or Stall,#01-128 Hdb-tampines Tampines Street 81 520827,,,
Qing Tian Coffee Stall,['Fruits & Drinks'],Fruits & Drinks,,,Kiosk or Stall,#01-43 Bukit Merah View Hawker Centre Bukit Merah View 151115,,,
Economic Mixed Vegetables Rice,"['Chinese', 'Singaporean']",Chinese,Singaporean,,Kiosk or Stall,#01-70 Bendemeer Market and Food Centre Bendemeer Road 330029,,,
Mino-Q Japanese Restaurant & Sushi Bar,"['Asian', 'Japanese']",Asian,Japanese,,Restaurant,#02 Copthorne King's Hotel Havelock Road 169632,"2 Havelock Rd, Singapore 059763",,
Teochew Rice & Porridge,"['Chinese', 'Teochew']",Chinese,Teochew,,Kiosk or Stall,#01-98 Maxwell Food Centre Kadayanallur Street 069184,,,
St. Kerry (Whampoa Drive),[None],,,,Confectionery or Bakery,#01-330  Whampoa Drive 320074,"202 Ang Mo Kio Ave 3, Singapore 560202",,
Chui Huay Lim Teochew Cuisine,"['Asian', 'Chinese', 'Seafood', 'Teochew']",Asian,Chinese,Seafood,Restaurant,#01-02 Chui Keng Lee Road 308409,"190 Keng Lee Rd, #01-02 Chui Huay Lim Club, Singapore 308409",,
Old Chang Kee (Chinatown),"['Asian', 'Halal', 'Local', 'Singaporean', 'Snacks']",Asian,Halal,Local,Kiosk or Stall, Chinatown Pagoda Street 059205,"46 Pagoda St, Singapore 059205",3.9,32.0
Yi Jia Le Wah Chye Seafood Restaurant,"['Chinese', 'Seafood']",Chinese,Seafood,,Kiosk or Stall,#01-113  Jurong West Street 42 640546,"546 Jurong West Street 42, Block 546, Singapore 640546",3.9,45.0
Kungfu Roast,[None],,,,Hawker,#01-15 The Poiz Centre Upper Serangoon Road 347697,"632 Ang Mo Kio Ave 4, Singapore 560632",,45.0
Soon Li Coffee Shop,['Fruits & Drinks'],Fruits & Drinks,,,Kiosk or Stall,#01-47 Maxwell Food Centre Kadayanallur Street 069184,,,
Marina South Delicious Food,"['Chinese', 'Singaporean']",Chinese,Singaporean,,Kiosk or Stall,#01-35 Maxwell Food Centre Kadayanallur Street 069184,"1 Kadayanallur St, Singapore 069184",3.2,21.0
