Stall Name,Cuisine,Shop Type,Address
Ah Seah Teochew Porridge (Kovan Centre),"['Asian', 'Chinese', 'Teochew']",Kiosk or Stall," Ah Seah Eating House, Kovan Centre Yio Chu Kang Road 545523"
Shanshui Palace Restaurant,"['Asian', 'Chinese', 'Teochew']",Restaurant, Raffles Country Club Jalan Ahmad Ibrahim 639932
Etna Italian Restaurant (East Coast),"['European', 'Italian', 'Western']",Restaurant,  Upper East Coast Road 455298
Jaan West Coast,"['Asian', 'Indian', 'Local']",Kiosk or Stall,#01-249 Tekka Market and Food Centre Buffalo Road 210665
Maddie's Kitchen,['Local'],Kiosk or Stall,#05-26 Far East Plaza Scotts Road 228213
British Hainan,"['European', 'Western']",Restaurant,  Carpmael Road 429812
The Wall,"['Cocktails', 'Drinks', 'Japanese']",Bar or Pub, Tanjong Pagar Conservation Area Tanjong Pagar Road 088497
Katsuya,['Japanese'],Restaurant,#01-01  East Coast Road 428787
Yong's Teochew Kueh (East Coast),"['Asian', 'Chinese', 'Snacks', 'Teochew']",Kiosk or Stall,  East Coast Road 428837
Geylang Lorong 29 Carrot Cake,['Chinese'],Kiosk or Stall,  East Coast Road 428994
Chaoniu HOT POT,"['Chinese', 'Steamboat']",Restaurant,  East Coast Road 428900
Indian Curry House (Upper East Coast),"['Asian', 'Indian', 'North Indian', 'South Indian', 'Wine']",Bar or Pub, Crescendo Building Upper East Coast Road 455211
Alibabar (East Coast Road),"['Asian', 'French', 'Japanese', 'Western']",Restaurant,  East Coast Road 428810
Southbank Authentic Thai Restaurant,"['Asian', 'Beer', 'Indochinese', 'Thai', 'Wine']",Bar or Pub,  Joo Chiat Road 427565
Cahaya Murni Halal Muslim Food,"['Asian', 'Chinese', 'Halal', 'Zi Char']",Cafe,#05-69/91/92 Far East Plaza Scotts Road 228213
Mongkok Kitchen (Katong),"['Asian', 'Chinese', 'Dim Sum']",Kiosk or Stall,  East Coast Road 428901
Ocean Spoon Dining (SAF Yacht Club),"['Chinese', 'Seafood', 'Western']",Restaurant, SAF Yacht Club Admiralty Road West 759962
Kim Choo Kueh Chang (East Coast),"['Asian', 'Nonya / Peranakan']",Kiosk or Stall,  East Coast Road 428800
Birds of Paradise Gelato Boutique,['Desserts'],Confectionery or Bakery,#01-05 The Red House East Coast Road 428776
Economical Bee Hoon,[None],Kiosk or Stall,  Senoko South Road 758075
Grandfather Carrot Cake,['Chinese'],Kiosk or Stall,  Upper East Coast Road 455207
Peranakan Inn & Lounge,"['Asian', 'Nonya / Peranakan']",Restaurant,  East Coast Road 428909
Pizzeria Lucia,"['Desserts', 'Drinks', 'Italian', 'Pizza']",Restaurant,#01-05 East Village Upper Changi Road 487048
Al Ameen's Morocco Shawarma,['Middle Eastern'],Kiosk or Stall,#01-02  Clementi Road 129741
Ah Di Dempsey Durian,"['Asian', 'Local']",Food Retailer, Dempsey Cluster (tanglin Village) Dempsey Road 249671
Morganfield's (Orchard Central),"['American', 'Western']",Restaurant,#11-03/04 Orchard Central Orchard Road 238896
Hua Yu Wee,"['Asian', 'Chinese', 'Seafood', 'Steamboat']",Restaurant,  Upper East Coast Road 466508
Ah Khoo Hot & Cold Drink,['Drinks'],Kiosk or Stall,#01-02 Havelock Road Cooked Food Centre Havelock Road 162022
Food Yo,[None],Kiosk or Stall,  Senoko South Road 758075
Wasabi Tei Japanese Cuisine,"['Asian', 'Japanese']",Restaurant,#05-68 & 70 Far East Plaza Scotts Road 228213
Ichiban Bento (Jem),"['Asian', 'Japanese']",Kiosk or Stall,#B1-01 (within Kuriya Japanese Market) Jem Jurong Gateway Road 608549
Garden Picks,['Western'],Consumer Shop,#06-05 FoodXChange@Admiralty Admiralty Street 757437
Siam Square Mookata (Jurong East),"['Barbecue', 'Steamboat', 'Thai']",Kiosk or Stall, Jurong Gateway Jurong Gateway Road 600134
West Grill Station (Pasir Ris),['Western'],Kiosk or Stall,#01-01 Elias Mall Elias Road 510623
Niqqi's The Cheese Prata Shop,['Indian'],Kiosk or Stall,#01-00  Clementi Road 129745
