placeId,Stall Name,Cuisine,Cuisine 1,Cuisine 2,Cuisine 3,Shop Type,Address,Google Address,Average Review,Number of Reviews
103,Hai Di Lao (The Seletar Mall),"['Asian', 'Chinese', 'Seafood', 'Sichuan', 'Steamboat']",Asian,Chinese,Seafood,Restaurant,#03-36/37 The Seletar Mall Sengkang West Avenue 797653,"33 Sengkang West Ave, #03-36/37 The Seletar Mall, Singapore 797653",,
104,% Arabica (Chip Bee Gardens),['Drinks'],Drinks,,,Cafe, Chip Bee Gardens Jalan Merah Saga 278116,"44 Jln Merah Saga, Singapore 278116",3.8,155
105,Jojo Asian Delights,"['Chinese', 'Local', 'Singaporean']",Chinese,Local,Singaporean,Kiosk or Stall,#01-01 Jalan Batu Market & Hawker Centre Jalan Batu 432004,,,
106,Chang Cheng Mee Wah Cafe,"['Asian', 'Chinese', 'Local', 'Singaporean']",Asian,Chinese,Local,Restaurant,#01-5134  Jalan Bukit Merah 150002,"2 Jalan Bukit Merah, Singapore 150002",,
107,Fried Guo Tiao,"['Chinese', 'Snacks']",Chinese,Snacks,,Kiosk or Stall,#01-1654G Jalan Bukit Merah Food Centre Jalan Bukit Merah 160112,"30 Seng Poh Rd, #02-11, Singapore 168898",4.3,4
108,Habib's Power Mee Stall,['Indian'],Indian,,,Kiosk or Stall,#01-08 ABC Brickworks Food Centre Jalan Bukit Merah 150006,"6 Jalan Bukit Merah, #01-08, Singapore 150006",5,1
109,Fusion Bistro (Surbana One),"['Asian', 'Fusion', 'Local', 'Singaporean', 'Western']",Asian,Fusion,Local,Cafe,#01-01 Surbana One Jalan Bukit Merah 150168,"168 Jalan Bukit Merah, Singapore 150168",,
110,Ke Kou Cooked Food,"['Chinese', 'Snacks']",Chinese,Snacks,,Kiosk or Stall,#01-1654F Jalan Bukit Merah Food Centre Jalan Bukit Merah 160112,"#01-05, 112 Jalan Bukit Merah, 160112",5,1
111,Fook Seng Goldenhill Chicken Rice,"['Asian', 'Chinese', 'Hainanese', 'Local', 'Singaporean']",Asian,Chinese,Hainanese,Kiosk or Stall,#01-431  Jalan Rumah Tinggi 150037,"37 Jln Rumah Tinggi, #01-431, Singapore 150037",4.4,127
112,Koh Za Hao Wei,"['Chinese', 'Taiwanese']",Chinese,Taiwanese,,Kiosk or Stall,#01-126 ABC Brickworks Food Centre Jalan Bukit Merah 150006,"6 Jalan Bukit Merah, #01-126 ABC Brickworks, Singapore 150006",4.5,2
113,Hock Nguan Kee Cooked Food,"['Chinese', 'Seafood', 'Zi Char']",Chinese,Seafood,Zi Char,Kiosk or Stall,#01-36 Jalan Batu Food Centre Jalan Batu 432004,"4A Jln Batu, #01-24, Singapore 432004",3.8,5
114,Grandma's Noodle,"['Asian', 'Chinese', 'Local', 'Singaporean']",Asian,Chinese,Local,Kiosk or Stall,#01-05  Fernvale Street 790473,"473 #01-05 Fernvale St, Singapore 790473",4.4,32
115,The Royals Steakhouse,"['Desserts', 'Halal', 'Western']",Desserts,Halal,Western,Cafe, Kampong Glam Conservation Area Jalan Pisang 199077,"10 Jln Pisang, Singapore 199077",4.4,411
116,Jack's Place Restaurant (Anchorpoint),"['American', 'Steak and Grills']",American,Steak and Grills,,Restaurant,#01-09/10 Anchorpoint Shopping Centre Alexandra Road 159953,"370 Alexandra Rd, #01 - 09 / 10, Singapore 159953",3.9,358
117,Epiphyte,['Asian'],Asian,,,Restaurant, Tanjong Pagar Conservation Area Neil Road 088827,"47 Neil Rd, Singapore 088827",4.4,99
118,Italian Gourmet,"['European', 'Italian', 'Western']",European,Italian,Western,Kiosk or Stall,#01-5134 Chang Cheng Mee Hua Cafe Jalan Bukit Merah 150002,"120 Lower Delta Rd, #02-03, Singapore 169208",,
119,Hong Yong Teochew Fishball Kway Teow Noodles,['Chinese'],Chinese,,,Kiosk or Stall,#01-1650D Jalan Bukit Merah Food Centre Jalan Bukit Merah 160112,"112 Jalan Bukit Merah, Singapore 160112",4,3
120,Jalan Tua Kong Lau Lim Mee Pok Kway Teow Mee (Bedok),"['Chinese', 'Singaporean']",Chinese,Singaporean,,Kiosk or Stall, Bedok Shopping Centre Bedok Road 469469,"306 Bedok Rd, Singapore 469469",4,582
121,Fu Yuan Shu Shi Vegetarian Food,['Vegetarian'],Vegetarian,,,Kiosk or Stall,#01-114 ABC Brickworks Food Centre Jalan Bukit Merah 150006,"6 Jalan Bukit Merah, #01-114 ABC Brickworks Market and Food Centre, Singapore 150006",4,1
122,Ong Khim Popiah,"['Chinese', 'Snacks']",Chinese,Snacks,,Kiosk or Stall,#01-124 ABC Brickworks Food Centre Jalan Bukit Merah 150006,"6 Jalan Bukit Merah, #01-124, Singapore 150006",3.1,11
123,Tian Tian Hainanese Chicken Rice (Simpang Bedok),['Chinese'],Chinese,,,Kiosk or Stall,  Jalan Pari Burong 488678,"12 Jln Pari Burong, Singapore 488678",4,412
